Fiscal Year	Nitrogen	Phosphorus	Potash	Total	Import of Fertilizers 000 N/Tonnes 	Quantity (Tonnes)	Value (mln. Rs)
2000-01	2264	677	23	2966	580	21255	3477
2001-02	2285	625	19	2929	626	31783	5320
2002-03	2349	650	20	3020	766	22242	3441
2003-04	2527	674	22	3222	764	41406	7157
2004-05	2796	864	33	3694	784	41561	8281
2005-06	2926	851	27	3804	1268	33954	6804
2006-07	2650	979	43	3672	796	29089	5848
2007-08	2925	630	27	3582	876	27814	6330
2008-09	3034	651	25	3710	568	28839	8981
2009-10	3476	860	24	4360	1444	38227	13473
2010-11	3134	767	32	3933	645	36183	13178
2011-12	3207	633	21	3861	1177	32152	12255
2012-13	2853	747	21	3621	735	17882	8507
2013-14	3185	881	24	4089	1148	23546	12572
2014-15	3309	975	33	4316	984	23157	14058
2015-16	2672	1007	20	3699	901	17386	15974
2016-17	3730	1269	41	5040	961	20460	16680
2017-18P	2591	1075	43	3709	923	15980	10529
table	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES	FERTILIZER OFFTAKE AND IMPORTS OF FERTILIZERS & PESTICIDES
